topic	playlist	track	audio	transcript
Health	Cancer	What is cancer?	https://audiopedia.wiki/images/En-01-14-01.mp3	 Cancer is a serious sickness that can affect many different parts of the body. If it is treated early it is often curable, but if left too long it can cause death. Many people who get cancer die from it, especially those with little access to health care. <br/> <br/> All living things, like the human body, are made up of tiny cells that are too small to see without a microscope. Sometimes these cells change and grow in an abnormal way, causing growths (tumors). Some growths go away without treatment. But some growths get larger or spread and may cause health problems. Most growths do not become cancer, but some do. <br/> <br/> Cancer starts when some cells begin to grow out of control and take over parts of the body. When cancer is found early, it can often be removed by surgery, or treated with medicines or radiation, and the chance of it being cured may be good. Once cancer spreads, however, curing it is more difficult and eventually becomes impossible.
Health	Cleanliness	How are germs mostly spread?	https://audiopedia.wiki/images/En-01-01-02.mp3	 Many illnesses are spread by germs that pass from one person to another. Here are some of the most common ways that germs are spread: <br/> <ul><li> by touching an infected person</li><li>through the air (for example, when someone coughs, germs in small drops of spit (saliva) can spread to other people or objects)</li><li>through clothes, cloths, or bed covers</li><li>through insect bites or animal bites</li><li>by eating contaminated food</li></ul> <li> by touching an infected person</li>  by touching an infected person <li>through the air (for example, when someone coughs, germs in small drops of spit (saliva) can spread to other people or objects)</li> through the air (for example, when someone coughs, germs in small drops of spit (saliva) can spread to other people or objects) <li>through clothes, cloths, or bed covers</li> through clothes, cloths, or bed covers
Health	Cleanliness	How can cleanliness in the community (sanitation) prevent sicknesses?	https://audiopedia.wiki/images/En-01-01-04.mp3	 Many common health problems are best solved in the community. When the community works together to improve sanitation, everybody benefits. For example: <br/> <br/> <ul><li> by developing a source of clean water for drinking and cooking.</li><li>by getting rid of garbage in a safe way.</li><li>by draining standing water in washing areas, and in puddles, tires, and open containers.</li><li>by organizing your community to build latrines.</li></ul> <li> by developing a source of clean water for drinking and cooking.</li>  by developing a source of clean water for drinking and cooking. <li>by getting rid of garbage in a safe way.</li> by getting rid of garbage in a safe way.
Health	Cleanliness	How can cleanliness in the home prevent sicknesses?	https://audiopedia.wiki/images/En-01-01-10.mp3	 Since family members are in close contact with each other, it is very easy to spread germs and illness to the whole family.  <br/> <br/> A family will have less illness if they: <br/> <ul><li> wash cooking and eating pots and utensils with soap (or clean ash) and clean water after using them. If possible, let them dry in the sun (sunlight kills many germs that cause illness).</li><li>clean the living space often. Sweep and wash the floors, walls, and beneath furniture. Fill in cracks and holes in the floor or walls where roaches, bedbugs, and scorpions can hide.</li><li>hang or spread bedding in the sun to kill parasites and bugs.</li><li>do not spit on the floor. When you cough or sneeze, cover your mouth with your arm, or with a cloth or handkerchief. Then, if possible, wash your hands.</li><li>get rid of body wastes in a safe way. Teach children to use a latrine or to bury their stools, or at least to go far away from the house or from where people get drinking water. If children or animals pass stool near the house, clean it up at once.</li></ul> <li> wash cooking and eating pots and utensils with soap (or clean ash) and clean water after using them. If possible, let them dry in the sun (sunlight kills many germs that cause illness).</li>  wash cooking and eating pots and utensils with soap (or clean ash) and clean water after using them. If possible, let them dry in the sun (sunlight kills many germs that cause illness). <li>clean the living space often. Sweep and wash the floors, walls, and beneath furniture. Fill in cracks and holes in the floor or walls where roaches, bedbugs, and scorpions can hide.</li> clean the living space often. Sweep and wash the floors, walls, and beneath furniture. Fill in cracks and holes in the floor or walls where roaches, bedbugs, and scorpions can hide. <li>hang or spread bedding in the sun to kill parasites and bugs.</li> hang or spread bedding in the sun to kill parasites and bugs.
Health	Cleanliness	How can cleanliness prevent sicknesses?	https://audiopedia.wiki/images/En-01-01-01.mp3	 
Health	Cleanliness	How can cleanliness prevent the spreading of germs?	https://audiopedia.wiki/images/En-01-01-03.mp3	 Cleanliness in the community (sanitation), cleanliness in the home, and personal cleanliness are all important to prevent these sicknesses by stopping the spread of germs.  <br/> <br/> For example: <br/> <ul><li> A man infected with parasites has diarrhea outside. </li><li>A pig eats the man’s stool.</li><li>One of the man’s children plays with the pig and gets stool on himself.</li><li>Later, the child starts to cry and his mother comforts him and cleans his fingers with her skirt. She also gets stool on her hands.</li><li>The busy mother prepares food for the family without washing her hands first. She uses her skirt to keep from burning her hands, forgetting that it was not clean.</li><li>The family eats the food. Soon everyone has diarrhea.</li></ul> <li> A man infected with parasites has diarrhea outside. </li>  A man infected with parasites has diarrhea outside.  <li>A pig eats the man’s stool.</li> A pig eats the man’s stool. <li>One of the man’s children plays with the pig and gets stool on himself.</li> One of the man’s children plays with the pig and gets stool on himself. <li>Later, the child starts to cry and his mother comforts him and cleans his fingers with her skirt. She also gets stool on her hands.</li> Later, the child starts to cry and his mother comforts him and cleans his fingers with her skirt. She also gets stool on her hands. <li>The busy mother prepares food for the family without washing her hands first. She uses her skirt to keep from burning her hands, forgetting that it was not clean.</li> The busy mother prepares food for the family without washing her hands first. She uses her skirt to keep from burning her hands, forgetting that it was not clean. <li>The family eats the food. Soon everyone has diarrhea.</li> The family eats the food. Soon everyone has diarrhea. <p>If the family had used any of these precautions, the spread of illness could have been prevented:</p> If the family had used any of these precautions, the spread of illness could have been prevented: <ul><li>if the man had used a latrine or toilet.</li><li>if the pig had not been allowed to run free.</li><li>if the mother had not used her skirt to wipe the child’s hands and then touch the food.</li><li>if the mother had washed her hands after touching her child and before preparing food.</li></ul> <li>if the man had used a latrine or toilet.</li> if the man had used a latrine or toilet. <li>if the pig had not been allowed to run free.</li> if the pig had not been allowed to run free.
Health	Cleanliness	How can I build a latrine?	https://audiopedia.wiki/images/En-01-01-09.mp3	 Dig a pit about ½ meter wide, 1 ½ meters long, and 3 meters deep. <br/> <br/> Cover the pit, leaving a hole about 20 by 30 centimeters. <br/> <br/> Build a shelter and roof out of local building materials. <br/> <br/> To be safe, a latrine should be at least 20 meters from all houses, wells, springs, rivers, or streams. If it must be anywhere near a place people go for water, be sure to put the latrine downstream.
Health	Cleanliness	How can I care for myself during my monthly bleeding?	https://audiopedia.wiki/images/En-01-01-12.mp3	 Many women prefer to make pads of folded cloth or wads of cotton to catch the blood as it leaves the vagina. They stay in place with a belt, pin, or underwear. The pads should be changed several times each day, and washed well with soap and water if they are to be used again. <br/> <br/> Some women put something inside the vagina that they buy or make from cotton, cloth, or a sponge. These are called tampons. If you use tampons, be sure to change them at least twice each day. Leaving one in longer may cause a serious infection. <br/> <br/> Wash your outside genitals with water each day to remove any blood that is left. Use a mild soap if you can. It is healthy to bathe during your monthly bleeding.
Health	Cleanliness	How can I get clean drinking water?	https://audiopedia.wiki/images/En-01-01-15.mp3	 Store water in covered jars and keep your living space clean. <br/> <br/> Drinking water should be taken from the cleanest possible source. If the water is cloudy, let it settle and pour off the clear water. Then, before drinking, kill the harmful germs as described below. This is called purification.
Health	Cleanliness	How can I get rid of garbage in a safe way?	https://audiopedia.wiki/images/En-01-01-07.mp3	 If there is no community-wide refuse collection, each family needs a garbage pit where household refuse is buried or burned every day. <br/> <br/> If possible, bury, compost, or burn garbage. If you bury it, make sure the pit is deep enough to keep animals and bugs away.  <br/> <br/> If the garbage is above ground, fence off the dump and cover the garbage with dirt to reduce flies.  <br/> <br/> Use composted food waste to fertilize your crops. 
Health	Cleanliness	How can I keep food cool?	https://audiopedia.wiki/images/En-01-01-23.mp3	<strong>Pottery cooler</strong> Pottery cooler <br/> <br/> This double-pot cooler is made of a small pot inside a large pot. The space between the pots is filled with water. Use a large pot and lid that have not been glazed (coated with a hard, smooth, baked-on covering) so that the water will evaporate through the pot. The small pot should be glazed on the inside to make it easier to keep clean and to stop water from seeping into the stored foods. <br/> <br/> <strong>Cupboard cooler</strong> Cupboard cooler
Health	Cleanliness	How can I keep my food safe?	https://audiopedia.wiki/images/En-01-01-17.mp3	 
Health	Cleanliness	How can I keep water for drinking and cooking clean?	https://audiopedia.wiki/images/En-01-01-05.mp3	 Clean drinking water can help prevent diarrhea and parasites. <br/> The source should be close enough to the community for people to get water easily. <br/> <br/> To keep drinking and cooking water clean: <br/> <ul><li> do not let animals go near the water source. If necessary, build a fence to keep them out.</li><li>do not bathe, or wash clothes, cooking pots, or eating utensils near the water source.</li><li>do not pass stool or throw garbage (rubbish) near the water source.</li></ul> <li> do not let animals go near the water source. If necessary, build a fence to keep them out.</li>  do not let animals go near the water source. If necessary, build a fence to keep them out. <li>do not bathe, or wash clothes, cooking pots, or eating utensils near the water source.</li>
Health	Cleanliness	How can I prevent the spread of germs in food?	https://audiopedia.wiki/images/En-01-01-18.mp3	<ul><li> Wash your hands with soap and water before preparing food, before eating, and before feeding your children. Washing your hands prevents the spread of disease. Keep a special clean rag for drying your hands. Wash it often and dry it in the sun. Or dry your hands in the air by shaking the water off.</li><li>Wash or peel all fruits and vegetables that are eaten raw.</li><li>Do not let raw meat, poultry, or fish touch other food that is eaten raw. Always wash your hands, knife, and cutting board after cutting these meats.</li><li>Avoid coughing, spitting, and chewing things like gum or betel near food so your saliva does not get in the food.</li><li>Do not allow animals to lick dishes or utensils clean. If possible, keep animals out of the kitchen.</li><li>Throw food out when it spoils.</li></ul> <li> Wash your hands with soap and water before preparing food, before eating, and before feeding your children. Washing your hands prevents the spread of disease. Keep a special clean rag for drying your hands. Wash it often and dry it in the sun. Or dry your hands in the air by shaking the water off.</li>  Wash your hands with soap and water before preparing food, before eating, and before feeding your children. Washing your hands prevents the spread of disease. Keep a special clean rag for drying your hands. Wash it often and dry it in the sun. Or dry your hands in the air by shaking the water off. <li>Wash or peel all fruits and vegetables that are eaten raw.</li> Wash or peel all fruits and vegetables that are eaten raw. <li>Do not let raw meat, poultry, or fish touch other food that is eaten raw. Always wash your hands, knife, and cutting board after cutting these meats.</li> Do not let raw meat, poultry, or fish touch other food that is eaten raw. Always wash your hands, knife, and cutting board after cutting these meats. <li>Avoid coughing, spitting, and chewing things like gum or betel near food so your saliva does not get in the food.</li> Avoid coughing, spitting, and chewing things like gum or betel near food so your saliva does not get in the food.
Health	Cleanliness	How can I properly store food?	https://audiopedia.wiki/images/En-01-01-22.mp3	 Whenever possible, eat freshly prepared food. If you store food, keep it covered to protect it from flies and other insects, and dust. <br/> <br/> Food keeps best if it stays cool. The methods described below cool food using evaporation (the way that water disappears into the air). Put the food in shallow pans for more complete cooling. <br/>
Health	Cleanliness	How can I protect my eyes?	https://audiopedia.wiki/images/En-01-01-14.mp3	 Flies carry germs. A dirty face attracts flies, spreading the germs from person to person. Washing the face and hands with soap and water every day helps to prevent eye infections. In some parts of the world, eye infections can lead to trachoma, which can cause blindness. If the eyes become sore or infected, vision may be impaired or lost. Eyes must be kept clean and healthy. <br/>
Health	Cleanliness	How can I protect my teeth?	https://audiopedia.wiki/images/En-01-01-13.mp3	 Taking good care of the teeth is important because: <br/> <ul><li> strong, healthy teeth are needed to chew and digest food well.</li><li>painful cavities (holes in the teeth caused by decay) and sore gums can be prevented by good tooth care.</li><li>decayed or rotten teeth caused by lack of cleanliness can lead to serious infections that may affect other parts of the body.</li><li>people who do not care for their teeth are more likely to lose them when they get old.</li></ul> <li> strong, healthy teeth are needed to chew and digest food well.</li>  strong, healthy teeth are needed to chew and digest food well. <li>painful cavities (holes in the teeth caused by decay) and sore gums can be prevented by good tooth care.</li> painful cavities (holes in the teeth caused by decay) and sore gums can be prevented by good tooth care. <li>decayed or rotten teeth caused by lack of cleanliness can lead to serious infections that may affect other parts of the body.</li> decayed or rotten teeth caused by lack of cleanliness can lead to serious infections that may affect other parts of the body. <li>people who do not care for their teeth are more likely to lose them when they get old.</li>
Health	Cleanliness	How can I purify my drinking water?	https://audiopedia.wiki/images/En-01-01-16.mp3	 Here are some simple and inexpensive ways to purify your water: <br/> <br/> <strong>Sunlight</strong> Sunlight <br/> Sunlight kills many harmful germs. To purify water using sunlight, fill clean, clear glass or plastic containers with water, and leave them outside from morning to late afternoon. Be sure to place the containers in an open space where they will be in the sun all day. (If drinking water is needed right away, putting the containers in the sun for 2 hours in the middle of the day should be enough for purification.) <br/> <br/> To avoid getting germs in the water, choose a spot away from children, dust, and animals. If you want the water to cool before using, bring the containers inside overnight. Water can be stored for a day or two in the same container. Sunlight purification works best in warm climates. <br/> <br/> <strong>Lemon juice</strong> Lemon juice <br/> Lemon juice sometimes kills cholera (and some other germs). Add 2 tablespoons lemon juice to a liter (1 quart) of water and let it sit for 30 minutes. <br/> <br/> <strong>Boiling</strong>
Health	Cleanliness	How can I recognize spoiled foods?	https://audiopedia.wiki/images/En-01-01-19.mp3	 Here are some of the most common signs of spoiled foods: <br/> <ul><li> bad smell</li><li>bad taste or a change in taste</li><li>changed color (for example, if raw meat changes from red to brown)</li><li>many bubbles on the top (for example, on the top of old stew or soup) along with a bad smell</li><li>slime on the surface of meat or cooked foods</li></ul> <li> bad smell</li>  bad smell <li>bad taste or a change in taste</li> bad taste or a change in taste <li>changed color (for example, if raw meat changes from red to brown)</li> changed color (for example, if raw meat changes from red to brown)
Health	Cleanliness	How can I select good food?	https://audiopedia.wiki/images/En-01-01-21.mp3	 Sometimes food is bad even before it is cooked or stored. Here are some things to look for when selecting food. <br/> <br/> Fresh (raw) foods should be: <br/> <ul><li> fresh and in season.</li><li>whole - not bruised, damaged, or eaten by insects.</li><li>clean (not dirty).</li><li>fresh smelling (especially fish, shellfish, and meat, which should not have a strong smell). </li></ul> <li> fresh and in season.</li>  fresh and in season. <li>whole - not bruised, damaged, or eaten by insects.</li> whole - not bruised, damaged, or eaten by insects. <li>clean (not dirty).</li> clean (not dirty). <li>fresh smelling (especially fish, shellfish, and meat, which should not have a strong smell). </li> fresh smelling (especially fish, shellfish, and meat, which should not have a strong smell).  <p>Processed (cooked or packaged) foods should be stored in:</p> Processed (cooked or packaged) foods should be stored in: <ul><li>tins that look new (no rust, bulges, or dents)</li><li>jars that have clean tops.</li><li>bottles that are not chipped.</li><li>packages that are whole, not torn.</li></ul> <li>tins that look new (no rust, bulges, or dents)</li> tins that look new (no rust, bulges, or dents) <li>jars that have clean tops.</li> jars that have clean tops. <li>bottles that are not chipped.</li> bottles that are not chipped. <li>packages that are whole, not torn.</li>
Health	Cleanliness	How can personal cleanliness prevent sicknesses?	https://audiopedia.wiki/images/En-01-01-11.mp3	 It is best to wash with soap and clean water every day, if possible. Also: <br/> <ul><li> wash your hands before eating or preparing food, after passing urine or stool, and before and after caring for a baby or someone who is sick.</li><li>wash the genitals every day with mild soap and water. But do not douche. The vagina cleans and protects itself by making a small amount of wetness or discharge. Douching washes away this protection and makes a woman more likely to get a vaginal infection.</li><li>pass urine after having sex. This helps prevent infections of the urine system (but will not prevent pregnancy).</li><li>wipe carefully after passing stool. Always wipe from front to back. Wiping forward can spread germs and worms into the urinary opening and vagina.</li></ul> <li> wash your hands before eating or preparing food, after passing urine or stool, and before and after caring for a baby or someone who is sick.</li>  wash your hands before eating or preparing food, after passing urine or stool, and before and after caring for a baby or someone who is sick. <li>wash the genitals every day with mild soap and water. But do not douche. The vagina cleans and protects itself by making a small amount of wetness or discharge. Douching washes away this protection and makes a woman more likely to get a vaginal infection.</li> wash the genitals every day with mild soap and water. But do not douche. The vagina cleans and protects itself by making a small amount of wetness or discharge. Douching washes away this protection and makes a woman more likely to get a vaginal infection.
